#Nearest Neighbor Entropy Estimator. X~Beta(s+1,s+1)^d. Average over 500 tries
#d	s	k	N	sqMSE	slope	intercept
4	1.5	9	512	0.0691	-0.6751	1.5751
4	1.5	9	1024	0.0450	-0.6751	1.5751
4	1.5	9	2048	0.0288	-0.6751	1.5751
4	1.5	10	32	0.4970	-0.7047	1.7470
4	1.5	10	64	0.3000	-0.7047	1.7470
4	1.5	10	128	0.1884	-0.7047	1.7470
4	1.5	10	256	0.1176	-0.7047	1.7470
4	1.5	10	512	0.0723	-0.7047	1.7470
4	1.5	10	1024	0.0436	-0.7047	1.7470
4	1.5	10	2048	0.0259	-0.7047	1.7470
4	2.0	1	32	0.3516	-0.4999	0.6658
4	2.0	1	64	0.2393	-0.4999	0.6658
4	2.0	1	128	0.1728	-0.4999	0.6658
4	2.0	1	256	0.1139	-0.4999	0.6658
4	2.0	1	512	0.0939	-0.4999	0.6658
4	2.0	1	1024	0.0586	-0.4999	0.6658
4	2.0	1	2048	0.0434	-0.4999	0.6658
4	2.0	2	32	0.2902	-0.5118	0.4910
4	2.0	2	64	0.1907	-0.5118	0.4910
4	2.0	2	128	0.1323	-0.5118	0.4910
4	2.0	2	256	0.0934	-0.5118	0.4910
4	2.0	2	512	0.0676	-0.5118	0.4910
4	2.0	2	1024	0.0471	-0.5118	0.4910
4	2.0	2	2048	0.0337	-0.5118	0.4910
4	2.0	3	32	0.3019	-0.5419	0.6078
4	2.0	3	64	0.1941	-0.5419	0.6078
4	2.0	3	128	0.1225	-0.5419	0.6078
4	2.0	3	256	0.0883	-0.5419	0.6078
4	2.0	3	512	0.0590	-0.5419	0.6078
4	2.0	3	1024	0.0452	-0.5419	0.6078
4	2.0	3	2048	0.0305	-0.5419	0.6078
4	2.0	4	32	0.3291	-0.5603	0.6970
4	2.0	4	64	0.1849	-0.5603	0.6970
4	2.0	4	128	0.1240	-0.5603	0.6970
4	2.0	4	256	0.0867	-0.5603	0.6970
4	2.0	4	512	0.0558	-0.5603	0.6970
4	2.0	4	1024	0.0419	-0.5603	0.6970
4	2.0	4	2048	0.0308	-0.5603	0.6970
4	2.0	5	32	0.3250	-0.5823	0.7970
4	2.0	5	64	0.2055	-0.5823	0.7970
4	2.0	5	128	0.1205	-0.5823	0.7970
4	2.0	5	256	0.0835	-0.5823	0.7970
4	2.0	5	512	0.0509	-0.5823	0.7970
4	2.0	5	1024	0.0389	-0.5823	0.7970
4	2.0	5	2048	0.0304	-0.5823	0.7970
4	2.0	6	32	0.3425	-0.6119	0.9738
4	2.0	6	64	0.2116	-0.6119	0.9738
4	2.0	6	128	0.1313	-0.6119	0.9738
4	2.0	6	256	0.0805	-0.6119	0.9738
4	2.0	6	512	0.0554	-0.6119	0.9738
4	2.0	6	1024	0.0380	-0.6119	0.9738
4	2.0	6	2048	0.0274	-0.6119	0.9738
4	2.0	7	32	0.3669	-0.6174	1.0357
4	2.0	7	64	0.2165	-0.6174	1.0357
4	2.0	7	128	0.1352	-0.6174	1.0357
4	2.0	7	256	0.0843	-0.6174	1.0357
4	2.0	7	512	0.0553	-0.6174	1.0357
4	2.0	7	1024	0.0377	-0.6174	1.0357
4	2.0	7	2048	0.0292	-0.6174	1.0357
4	2.0	8	32	0.4014	-0.6504	1.2445
4	2.0	8	64	0.2334	-0.6504	1.2445
4	2.0	8	128	0.1437	-0.6504	1.2445
4	2.0	8	256	0.0847	-0.6504	1.2445
4	2.0	8	512	0.0563	-0.6504	1.2445
4	2.0	8	1024	0.0363	-0.6504	1.2445
4	2.0	8	2048	0.0282	-0.6504	1.2445
4	2.0	9	32	0.4317	-0.6704	1.3928
4	2.0	9	64	0.2598	-0.6704	1.3928
4	2.0	9	128	0.1462	-0.6704	1.3928
4	2.0	9	256	0.0877	-0.6704	1.3928
4	2.0	9	512	0.0554	-0.6704	1.3928
4	2.0	9	1024	0.0388	-0.6704	1.3928
4	2.0	9	2048	0.0277	-0.6704	1.3928
4	2.0	10	32	0.4594	-0.6887	1.5209
4	2.0	10	64	0.2675	-0.6887	1.5209
4	2.0	10	128	0.1530	-0.6887	1.5209
4	2.0	10	256	0.0955	-0.6887	1.5209
4	2.0	10	512	0.0558	-0.6887	1.5209
4	2.0	10	1024	0.0370	-0.6887	1.5209
4	2.0	10	2048	0.0279	-0.6887	1.5209
